company_name,domain,offer_id,contact_name,contact_title,contact_email,email_verified
MindWorX Clinic (OT&P Healthcare),otandp.com,therapy-app,,,,
Oasis Hong Kong Centre for Counselling & Psychotherapy,oasishktherapy.com,therapy-app,,,,
Hong Kong Psychological Counselling Center,hkpcc.hk,therapy-app,,,,
Mark Boyden Associates,markboyden.com,therapy-app,Mark Boyden,Clinical Director,mark.boyden@markboyden.test,1
Inner Compass Psychotherapy and Trauma Practice,innercompasspsychotherapy.com,therapy-app,Dr Nivedita Ramanujam,Clinical Psychologist & Founder,nivedita.ramanujam@innercompasspsychotherapy.test,1
Winnie Chiu Family Therapy,winniechiu.com.hk,therapy-app,Winnie Chiu,Family Therapist & Founder,winnie.chiu@winniechiu.test,1
Lo Chan Marriage and Family Therapist,lochantherapy.com,therapy-app,Lo Chan,Marriage & Family Therapist,lo.chan@lochantherapy.test,1
Focus2 Intelligent Therapy,focus2.co,therapy-app,Sarah Breidenbach,Founding Director,sarah.breidenbach@focus2.test,1
Lifespan Counselling,lifespancounselling.com,therapy-app,Dr Michael Eason,Clinical Director & Co-Founder,michael.eason@lifespancounselling.test,1
Psychotherapy Counselling Clinic,counsellingtherapy.clinic,therapy-app,Deborah Cameron,Founder & Director,deborah.cameron@counsellingtherapy.test,1
Therapy Partners,therapypartners.hk,therapy-app,Dr Andrew Stock,Partner,andrew.stock@therapypartners.test,1
Healing Minds,healingmindshk.com,therapy-app,,,,
